연번,광역자치단체명,기초자치단체명,축제명,축제 유형,시작일,종료일
1117,충남,부여군,2025 부여 세도 방울토마토&유채꽃 축제,지역특산물-먹거리·로컬장터,2025-04-18,2025-04-20
1118,충남,부여군,제22회 백제고도 부여국화축제,자연생태-산·숲·생태,2025-10-31,2025-11-09
1119,충남,서천군,동백꽃 주꾸미 축제,지역특산물-먹거리·로컬장터,2025-03-16,2025-03-30
1122,충남,서천군,제35회 한산모시문화제,문화예술-음악·공연,2025-06-13,2025-06-13
1123,충남,서천군,춘장대해수욕장 여름문화예술 축제,문화예술-음악·공연,2025-07-26,2025-07-27
1124,충남,서천군,제3회 장항 맥문동 꽃 축제,자연생태-꽃·식물,2025-08-28,2025-08-31
1126,충남,서천군,한산소곡주축제,지역특산물-먹거리·로컬장터,2025-10-25,2025-10-26
1129,충남,서천군,서천철새여행,자연생태-철새,2025-11-29,2025-11-30
1133,충남,홍성군,제24회 홍성사랑국화축제,자연생태-산·숲·생태,2025-10-21,2025-10-26
1136,충남,홍성군,홍성 남당항 새조개와 함께하는 수산물축제,지역특산물-수산·해산물,2025-02-07,2025-04-07
1137,충남,홍성군,홍성 남당항 대하축제,지역특산물-먹거리·로컬장터,2025-08-29,2025-10-31
1138,충남,홍성군,광천김토굴새우젓 대축제,지역특산물-수산·해산물,2025-10-17,2025-10-19
1139,충남,홍성군,글로벌 바비큐 페스티벌 in 홍성,지역특산물-먹거리·로컬장터,2025-10-30,2025-11-02
1141,충남,예산군,제52회 윤봉길 평화축제,전통역사-전통·민속,2025-04-26,2025-04-27
1145,충남,예산군,제6회 예산황새축제,자연생태-산·숲·생태,2025-09-06,2025-09-07
1147,충남,태안군,제2회 신진도항 오징어축제,지역특산물-먹거리·로컬장터,2025-08-02,2025-08-04
1148,충남,태안군,안면도 백사장 대하축제,지역특산물-먹거리·로컬장터,2025-10-01,2025-10-10
1151,충남,태안군,2025 꽃과바다 태안국화축제,자연생태-꽃·식물,2025-10-31,2025-11-09
1152,제주,-,탐라국입춘굿,전통역사-전통·민속,2025-02-02,2025-02-04
1157,제주,-,제10회제주푸드앤와인페스티벌,지역특산물-술·음료,2025-05-08,2025-05-17
